district,year,rate
Hà Đông,Q01/2016,-21.060000000000002
Long Biên,Q01/2016,-14.819999999999993
Ba Đình,Q01/2016,-15.549999999999997
Cầu Giấy,Q01/2016,-20.78
Đống Đa,Q01/2016,-20.769999999999996
Tây Hồ,Q01/2016,-12.75
Bắc Từ Liêm,Q01/2016,-26.310000000000002
Nam Từ Liêm,Q01/2016,-25.53
Hoàng Mai,Q01/2016,-24.730000000000004
Thanh Xuân,Q01/2016,-19.28
Hà Đông,Q04/2015,-22
Long Biên,Q04/2015,-16
Ba Đình,Q04/2015,-14
Cầu Giấy,Q04/2015,-21
Đống Đa,Q04/2015,-20
Tây Hồ,Q04/2015,-13
Bắc Từ Liêm,Q04/2015,-27
Nam Từ Liêm,Q04/2015,-26
Hoàng Mai,Q04/2015,-26
Thanh Xuân,Q04/2015,-18
